architecture,controls,mad.score_Dexamethasone,mad.score_FBS,mad.score_Serum Free,pval.empirical_Dexamethasone,pval.empirical_FBS,pval.empirical_Serum Free,pval.mad_Dexamethasone,pval.mad_FBS,pval.mad_Serum Free,pval.zscore_Dexamethasone,pval.zscore_FBS,pval.zscore_Serum Free,statistic_Dexamethasone,statistic_FBS,statistic_Serum Free,zscore_Dexamethasone,zscore_FBS,zscore_Serum Free
"ALX4-1:1557, 4, set2, minTK",FALSE,-0.4225582570521463,0.6781421544881577,1.0517332947515736,0.6797385620915033,0.31699346405228757,0.20261437908496727,0.6636912061105109,0.24884078251869396,0.14646096543196657,0.6844000453337652,0.5039690775768412,0.3924732433726175,0.2621762271861279,0.3590011958764927,0.37702148604533053,-0.4800386518148556,-0.0099491662137528,0.272878665600766
"ALX4-1:1890, 8, set2, minCMV",FALSE,1.7790612981489393,1.061602947718223,1.908712196267581,0.17320261437908502,0.25163398692810457,0.11764705882352944,0.037614856429848464,0.14420798748521363,0.028149614478779547,0.30215912871139405,0.4350742880676305,0.23792476888452777,0.40081226134305675,0.3798801771276432,0.4202673499992912,0.5182006842568855,0.1634697660344401,0.7129938903770429
"ALX4-1:1890, 8, set2, minProm",FALSE,-0.9148686286211547,-2.547284121669143,-1.5645811424064557,0.9084967320261438,1,0.9967320261437909,0.8198696994921685,0.9945717499229438,0.9411594233104412,0.75905243885962,0.9290345001712458,0.8578639008063513,0.23117543173651733,0.18338059545059127,0.24499399037424147,-0.7032577712559496,-1.468638009328075,-1.070771469260478
"ALX4-1:1890, 8, set2, minTK",FALSE,1.1523654561465377,0.09408972752200026,0.7852158490449277,0.23856209150326801,0.4607843137254902,0.2777777777777778,0.12458546484553246,0.46251894021514217,0.21616351225685695,0.4074732111781538,0.6079903615041158,0.4459089140917965,0.3613492097215359,0.3272002402439854,0.3635721733749749,0.2340496647215147,-0.2740850310782169,0.13600436762624515
"ALX4-1:225, 1, set1, minCMV",FALSE,1.7867187407066816,0.7397272913116963,0.6931691374751376,0.16993464052287577,0.303921568627451,0.29738562091503273,0.03699147927769493,0.22973274240628083,0.24410170689893126,0.3009491332345623,0.49285831039283434,0.4646473285226948,0.4012944506774865,0.3623544328691381,0.35892720538461387,0.5216726557683986,0.01790251734516901,0.08873230634120012
"ALX4-1:225, 1, set1, minProm",FALSE,-0.11202613718239637,0.7753023230408076,-0.26177324120704437,0.5522875816993464,0.30065359477124187,0.5947712418300654,0.5445986587313425,0.21908051850219482,0.6032518648550417,0.6327854774725188,0.48644207881181545,0.6560452432099331,0.28173044193471286,0.364291450769259,0.31073779474765917,-0.33923985829241304,0.03399121305038185,-0.4016936293482452
"ALX4-1:225, 1, set1, minTK",FALSE,2.517746242105294,0.45786162236507844,-0.3596280664173303,0.11111111111111116,0.36274509803921573,0.6601307189542484,0.0059054189469229705,0.3235259302096314,0.6404373539992692,0.1967939310311512,0.543624933243453,0.6743469726857496,0.44732726929691224,0.34700718454237484,0.3057997309857667,0.8531288357984145,-0.10957034092125104,-0.4519485403112589
"ALX4-1:558, 4, set1, minCMV",FALSE,0.5049547539700951,2.162410037964271,1.867957924518219,0.3529411764705882,0.13725490196078427,0.12091503267973858,0.30679530775591096,0.015293292266313064,0.030883967960392375,0.5237205615226128,0.25420795271782215,0.24444860611333163,0.32058174287720326,0.4398178057044224,0.41821076063810875,-0.05949370791959746,0.6613062947540135,0.6920638821354934
"ALX4-1:558, 4, set1, minProm",FALSE,-1.4161866425723268,0.1911940208410925,0.8087621306126219,0.9934640522875817,0.4248366013071896,0.2777777777777778,0.9216395671594799,0.42418679394333747,0.2093259913390003,0.8239596669028882,0.5910201330997127,0.44113313326973186,0.19960742483839974,0.3324874527971581,0.3647603931636964,-0.9305610581590832,-0.23016992121192875,0.1480969372174904
"ALX4-1:558, 4, set1, minTK",FALSE,3.2589391988373295,2.5777877135406477,1.7748178093516502,0.07516339869281041,0.11111111111111116,0.12418300653594772,5.591481587062893e-4,0.004971753218623024,0.03796398736918061,0.11718163823481245,0.19789626280118192,0.259713057251098,0.4940002068730832,0.4624346230000105,0.41351061604642253,1.1891941488455,0.8491595362064535,0.6442302859411104
"ALX4-1:891, 8, set1, minCMV",FALSE,1.489445264874015,-1.5863847598943273,-0.9529419133883147,0.19934640522875813,1,0.9248366013071896,0.06818507826770169,0.943673972290685,0.8296902488766628,0.34942049469785974,0.849449287162747,0.775371517105326,0.3825751330496403,0.23570041565891672,0.2758592390288256,0.38688548218706825,-1.0340743087909496,-0.7566543582264679
"ALX4-1:891, 8, set1, minProm",FALSE,1.1596320090549672,-0.90466720779158,0.9463595229024533,0.23529411764705888,0.9150326797385621,0.23202614379084963,0.12309933146840127,0.8171791407183001,0.1719826216371776,0.40619480893166027,0.7660100174576552,0.4134176159464811,0.3618067847257351,0.2728191204658349,0.3717039924715198,0.23734440242208812,-0.725769699642603,0.21876227930367187
"ALX4-1:891, 8, set1, minTK",FALSE,1.424190954811112,-1.3346367076171377,3.0474804740841197,0.20261437908496727,0.9901960784313726,0.07843137254901966,0.07719560127702503,0.9090023610896715,0.0011538425910288923,0.36043420030320583,0.8212716324323246,0.0971734707732651,0.3784660676403166,0.24940779580392025,0.477733196510123,0.35729843614220236,-0.9202220475109313,1.297826557403861
"AR-1:1266, 1, set2, minCMV",FALSE,70.53967622509568,2.7449524546575716,2.7229659551983514,0,0.10130718954248363,0.08496732026143794,0,0.0030259832506393746,0.003234936237929965,9.090846437402778e-221,0.17754557270750113,0.12899241804847297,4.730669768805535,0.47153654308480947,0.46135716822052014,31.695045216913094,0.9247592622432419,1.1311669346641202
"AR-1:1266, 1, set2, minProm",FALSE,14.562519919050118,-0.7039830924396238,-0.212043919799051,0.0032679738562091387,0.8235294117647058,0.5686274509803921,2.431578128377822e-48,0.7592783485159028,0.5839636148725821,1.3563548978837127e-10,0.7372893608408573,0.6465989211811582,1.2057869454678414,0.28374613036049,0.31324729348132513,6.3143661553904495,-0.6350109425077399,-0.37615434077214027
