statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,logFC,architecture
0.683973425917884,0.4082218379360945,0.6365317412042377,1,44,5,4,0.10686603079670479,"SPDEF-4:1733, 8, set2, minProm"
10.173082382616485,0.0014250583422719075,0.009117404518993807,1,49,5,4,0.38176165941160145,"SPDEF-4:1733, 8, set2, minTK"
111.48903124510116,4.6235629183662187e-26,1.8806571817619414e-24,1,40,5,4,1.1126694729671032,"SPDEF-4:401, 4, set1, minCMV"
1.2312600548705177,0.267162127299077,0.4871558250359283,1,28,5,4,0.21440504794970994,"SPDEF-4:401, 4, set1, minProm"
1.7309289857464591,0.18829230096658778,0.38746748913326196,1,37,5,4,0.18496841617754448,"SPDEF-4:401, 4, set1, minTK"
13.614324036743028,2.244662914233811e-4,0.0018260555787051747,1,34,5,4,0.8110549169871681,"SPDEF-4:68, 1, set1, minCMV"
0.3476261619375691,0.5554599879614607,0.7539525405655894,1,28,5,4,0.10294474495911919,"SPDEF-4:68, 1, set1, minProm"
8.729314152129746,0.0031313426267213277,0.017436723856139976,1,43,5,4,0.3950935772671988,"SPDEF-4:68, 1, set1, minTK"
18.732696751752428,1.503816923468698e-5,1.6854823985300624e-4,1,40,5,4,0.5621755731569282,"SPDEF-4:734, 8, set1, minCMV"
1.6402601978115854,0.20028977169703058,0.402299441470786,1,43,5,4,0.17966082422972893,"SPDEF-4:734, 8, set1, minProm"
0.08248322225040283,0.7739600097500343,0.895954928646816,1,36,5,4,0.04277805262117392,"SPDEF-4:734, 8, set1, minTK"
1.0506215080822585,0.30536399139704584,0.5308622299012484,1,104,5,4,0.06383245949003113,"SPDEF-5:1068, 1, set2, minCMV"
2.4705550794969895,0.11599695339941872,0.28160209003131614,1,104,5,4,-0.05231727108987379,"SPDEF-5:1068, 1, set2, minProm"
2.4885382325310275,0.11467819145740311,0.279587220630771,1,103,5,4,-0.06295025981362593,"SPDEF-5:1068, 1, set2, minTK"
0.10695476499950018,0.7436380901608322,0.8795984442253245,1,103,5,4,-0.018769220696848502,"SPDEF-5:1401, 4, set2, minCMV"
3.170933279916426,0.07495960111788233,0.20618086433767724,1,102,5,4,-0.1188872057470686,"SPDEF-5:1401, 4, set2, minProm"
10.749422470867103,0.0010431186642474403,0.006979122914823287,1,101,5,4,-0.180364543994965,"SPDEF-5:1401, 4, set2, minTK"
5.290002981382713,0.02144818332436647,0.07869458899537567,1,104,5,4,0.17892613295519263,"SPDEF-5:1734, 8, set2, minCMV"
1.5140255573819559,0.2185258481446498,0.4259554932733859,1,104,5,4,-0.044120905012082864,"SPDEF-5:1734, 8, set2, minProm"
0.7313358086830704,0.3924505433123769,0.6228504488435708,1,98,5,4,-0.06675023617913657,"SPDEF-5:1734, 8, set2, minTK"
11.278525967614769,7.840878884904858e-4,0.005447814265959913,1,102,5,4,0.26234053668839963,"SPDEF-5:402, 4, set1, minCMV"
0.023682885866037395,0.877694537987641,0.9487504139950882,1,90,5,4,0.013951189750913813,"SPDEF-5:402, 4, set1, minProm"
2.78386726111421,0.095217997249239,0.245662087526833,1,104,5,4,-0.057225454201914855,"SPDEF-5:402, 4, set1, minTK"
9.15934316746825,0.002474513725347899,0.014488525549177117,1,103,5,4,0.18817535408314348,"SPDEF-5:69, 1, set1, minCMV"
0.4763995086595969,0.49005773351097204,0.7045490942768246,1,102,5,4,-0.038109947929183256,"SPDEF-5:69, 1, set1, minProm"
6.8247951364537585,0.008990086749011542,0.04015790022722101,1,92,5,4,-0.2130029700230374,"SPDEF-5:69, 1, set1, minTK"
4.802391709128642,0.028420256900067574,0.0996947601364011,1,103,5,4,0.1340863349292933,"SPDEF-5:735, 8, set1, minCMV"
16.54483956916556,4.7513109180584906e-5,4.676690970947956e-4,1,103,5,4,-0.2030038779619283,"SPDEF-5:735, 8, set1, minProm"
10.882302982639885,9.708745085347355e-4,0.006560078362398619,1,103,5,4,-0.1397625065357559,"SPDEF-5:735, 8, set1, minTK"
0.614321666140313,0.4331652510938655,0.6562656566893246,1,104,5,4,0.03631360709110567,"SPIC-1:1069, 1, set2, minCMV"
0.1591339795031672,0.6899550953000505,0.8485296500630557,1,101,5,4,-0.026351268996996514,"SPIC-1:1069, 1, set2, minProm"
0.04305129535441665,0.8356287159371251,0.9260703311461375,1,99,5,4,-0.014960888635703412,"SPIC-1:1069, 1, set2, minTK"
1.2614343359800841,0.26137976490075127,0.4803693943807344,1,104,5,4,-0.04537067884929032,"Spic-1:1070, 1, set2, minCMV"
7.783822129623331,0.005271614904619535,0.02647445522826916,1,103,5,4,-0.1591330080996068,"Spic-1:1070, 1, set2, minProm"
19.505227919653407,1.003247324442135e-5,1.178192173369712e-4,1,103,5,4,-0.22879797426962195,"Spic-1:1070, 1, set2, minTK"
5.580722927114039,0.018159225214701445,0.06936191621187579,1,104,5,4,0.11990050774338068,"SPIC-1:1402, 4, set2, minCMV"
7.541246214021157,0.006030231988364024,0.02946514309668404,1,102,5,4,-0.16322091005645378,"SPIC-1:1402, 4, set2, minProm"
2.4849176835286926,0.1149423619936403,0.27981608694607163,1,91,5,4,-0.14790758889749298,"SPIC-1:1402, 4, set2, minTK"
7.290809197570525,0.0069308251410720775,0.03297376298719187,1,104,5,4,0.15631675370663548,"Spic-1:1403, 4, set2, minCMV"
9.459183789793315,0.002100945376481455,0.01247969681078249,1,97,5,4,-0.21085387494575505,"Spic-1:1403, 4, set2, minProm"
31.253005190264957,2.264965974809417e-8,4.055807876757854e-7,1,103,5,4,-0.24775288207656299,"Spic-1:1403, 4, set2, minTK"
13.818732654816813,2.0131898527342857e-4,0.0016552894344704124,1,104,5,4,0.16500930433991406,"SPIC-1:1735, 8, set2, minCMV"
12.711323968061151,3.6344802196736607e-4,0.0027797669970024597,1,101,5,4,-0.2353527436160756,"SPIC-1:1735, 8, set2, minProm"
8.117286562711342,0.004384513520501829,0.022879933766289065,1,99,5,4,-0.2065410648560363,"SPIC-1:1735, 8, set2, minTK"
0.03314291905735445,0.855541942697765,0.9370075984396706,1,104,5,4,0.011117664089210713,"Spic-1:1736, 8, set2, minCMV"
14.141924385146922,1.6952323258128516e-4,0.0014302358441129854,1,104,5,4,-0.1789670135445397,"Spic-1:1736, 8, set2, minProm"
3.6955828817581278,0.05455671699814148,0.16539356160048616,1,104,5,4,-0.09218534142232922,"Spic-1:1736, 8, set2, minTK"
2.8990730340010487,0.08863050716049005,0.2333341512986412,1,98,5,4,0.1329689663089736,"SPIC-1:403, 4, set1, minCMV"
0.5891878603156329,0.4427333400313269,0.6653457730541742,1,71,5,4,0.08967889010882774,"SPIC-1:403, 4, set1, minProm"
0.024695859075109183,0.8751272933145572,0.9480768771696213,1,98,5,4,0.012634534741681084,"SPIC-1:403, 4, set1, minTK"
0.0069051867139933165,0.9337740509647517,0.9739511868523797,1,71,5,4,0.004191682026523598,"Spic-1:404, 4, set1, minCMV"
10.369699793832297,0.001281003763859884,0.00829075354860633,1,83,5,4,-0.2569856687132502,"Spic-1:404, 4, set1, minProm"
