statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,logFC,architecture
2.478101190217785,0.11544154600604314,0.3462119021333579,1,80,5,4,-0.09726615522026283,"HNF4A-5:1946, 8, set2, minProm"
2.9041121963964542,0.08835389096371223,0.2857659812001688,1,98,5,4,0.07675912887564913,"HNF4A-5:1946, 8, set2, minTK"
0.7443152743053361,0.38828203873115025,0.7512143228268787,1,100,5,4,0.05120087508108402,"HNF4A-5:281, 1, set1, minCMV"
0.8817907888724221,0.34771166553268196,0.7004411445397614,1,93,5,4,-0.061052062823740316,"HNF4A-5:281, 1, set1, minProm"
0.01747526536018995,0.8948308117054784,1,1,98,5,4,-0.006996520651784466,"HNF4A-5:281, 1, set1, minTK"
0.02615230876926944,0.8715289098296121,1,1,94,5,4,0.008565291167214113,"HNF4A-5:614, 4, set1, minCMV"
2.771242089932457,0.09597166376235128,0.3036877685875124,1,95,5,4,-0.07461794963953132,"HNF4A-5:614, 4, set1, minProm"
6.1864170711769475,0.012873457017096038,0.06265354437322018,1,103,5,4,-0.0827797781036619,"HNF4A-5:614, 4, set1, minTK"
-14.802650743632967,1,1,1,99,5,4,0.0016441311568990975,"HNF4A-5:947, 8, set1, minCMV"
2.9140287815016563,0.08781226513701891,0.28461368468156734,1,75,5,4,-0.08977299392667956,"HNF4A-5:947, 8, set1, minProm"
0.12991801486077748,0.7185170590428374,1,1,84,5,4,-0.020073528912387714,"HNF4A-5:947, 8, set1, minTK"
1.2362033885437995e-5,0.9971946688664516,1,1,51,5,4,-7.853749579964923e-4,"HOMEZ-1:1077, 1, set2, minCMV"
0.6532326158107935,0.4189593005789455,0.7873315733932809,1,46,5,4,-0.07956877891297066,"HOMEZ-1:1077, 1, set2, minProm"
12.432229868204558,4.2198775999846203e-4,0.003137831503523673,1,69,5,4,-0.2281387874880869,"HOMEZ-1:1077, 1, set2, minTK"
0.004162242072652589,0.9485598129226379,1,1,61,5,4,-0.006427146226866993,"HOMEZ-1:1410, 4, set2, minCMV"
0.5889720972800205,0.44281687780345635,0.8143709845092301,1,55,5,4,0.0535776248009512,"HOMEZ-1:1410, 4, set2, minProm"
7.384110070666793,0.006580262118767229,0.035236242313398704,1,53,5,4,-0.19013190766318483,"HOMEZ-1:1410, 4, set2, minTK"
2.1738587666636704,0.1403736135936469,0.3958561683618821,1,64,5,4,0.09200562812033636,"HOMEZ-1:1743, 8, set2, minCMV"
3.4608440089177748,0.06283823219214263,0.2236109050545423,1,66,5,4,0.139628836109294,"HOMEZ-1:1743, 8, set2, minProm"
-125.04007165587188,1,1,1,60,5,4,0.2712125043030402,"HOMEZ-1:1743, 8, set2, minTK"
1.265140725115316,0.2606802598561704,0.5905931966199184,1,30,5,4,0.08083105296570485,"HOMEZ-1:411, 4, set1, minCMV"
2.051919577867011,0.152014421401542,0.4175637639750765,1,29,5,4,0.18797857161647127,"HOMEZ-1:411, 4, set1, minProm"
1.8936472632699406,0.1687911194711707,0.4493780042444432,1,41,5,4,-0.15462431506607316,"HOMEZ-1:411, 4, set1, minTK"
3.747246844101028,0.05289456803366478,0.19630117030983027,1,29,5,4,-0.27612510863920103,"HOMEZ-1:744, 8, set1, minCMV"
-4.461886675316407,1,1,1,24,5,4,-0.10021436472889096,"HOMEZ-1:744, 8, set1, minProm"
-10.195769636273099,1,1,1,37,5,4,-0.007969964017395258,"HOMEZ-1:744, 8, set1, minTK"
0.18144734230304493,0.6701323566691048,1,1,34,5,4,0.04893314621312521,"HOMEZ-1:78, 1, set1, minCMV"
1.3770475760236423,0.24060469336656884,0.560194854684407,1,33,5,4,-0.12553000451411345,"HOMEZ-1:78, 1, set1, minProm"
1.1848201061748114,0.2763768978300121,0.6116323342005813,1,45,5,4,0.09610700978884922,"HOMEZ-1:78, 1, set1, minTK"
20.62354223109287,5.590442097700696e-6,5.6567537667343776e-5,1,87,5,4,-0.16731827372293825,"HOXA10-1:1239, 1, set2, minCMV"
104.72954858034518,1.3999764344751512e-24,3.738545765454947e-23,1,80,5,4,-0.2186021084214685,"HOXA10-1:1239, 1, set2, minProm"
23.885830598517714,1.022213921362182e-6,1.1251680833345022e-5,1,100,5,4,-0.2658574693037561,"HOXA10-1:1239, 1, set2, minTK"
13.096222218253388,2.9589188463593303e-4,0.002271709944292376,1,87,5,4,-0.11829449792938712,"HOXA10-1:1572, 4, set2, minCMV"
19.14724077768642,1.2101230981419241e-5,1.1559216281162827e-4,1,84,5,4,-0.2089219186013879,"HOXA10-1:1572, 4, set2, minProm"
21.812361909954234,3.0065676850962836e-6,3.151252341614569e-5,1,71,5,4,-0.2507560306777574,"HOXA10-1:1572, 4, set2, minTK"
1.0089996515457642,0.3151426108495345,0.6594909423638299,1,61,5,4,-0.05241320350655428,"HOXA10-1:1905, 8, set2, minCMV"
30.21562507980434,3.865824470619818e-8,4.825994694826611e-7,1,67,5,4,-0.2684229705318473,"HOXA10-1:1905, 8, set2, minProm"
32.85497978926651,9.929638451561968e-9,1.3087519178002922e-7,1,63,5,4,-0.31206349006275136,"HOXA10-1:1905, 8, set2, minTK"
5.276232703334699,0.021618475399655078,0.09593388969029903,1,56,5,4,-0.12656618726742566,"HOXA10-1:240, 1, set1, minCMV"
8.389267289906456,0.003774430288575364,0.02199483001179306,1,51,5,4,-0.25849057284877786,"HOXA10-1:240, 1, set1, minProm"
11.893152683736844,5.634067769349384e-4,0.004071111086981637,1,38,5,4,-0.2607202689070466,"HOXA10-1:240, 1, set1, minTK"
12.029772557979413,5.235746478449739e-4,0.003805675132619917,1,55,5,4,-0.1755064752999546,"HOXA10-1:573, 4, set1, minCMV"
16.59649968844269,4.62362767273221e-5,4.097881842124276e-4,1,59,5,4,-0.24978385795638283,"HOXA10-1:573, 4, set1, minProm"
-134.97384440375708,1,1,1,57,5,4,-0.2279214075291282,"HOXA10-1:573, 4, set1, minTK"
4.814248610982759,0.028225374720172218,0.11857746342770024,1,49,5,4,-0.157640569800191,"HOXA10-1:906, 8, set1, minCMV"
8.37933172121302,0.0037951194301500224,0.022094429895717003,1,51,5,4,-0.21203338195965568,"HOXA10-1:906, 8, set1, minProm"
9.441628673947434,0.0021211504587834735,0.013253414158543331,1,54,5,4,-0.2235061058775057,"HOXA10-1:906, 8, set1, minTK"
1.120691216475734,0.28976966584439523,0.6275618080452311,1,64,5,4,-0.06597333896996362,"HOXA10-2:1240, 1, set2, minCMV"
4.173340878937324,0.04106475037096804,0.16230353718049273,1,50,5,4,-0.16086970478901558,"HOXA10-2:1240, 1, set2, minProm"
3.8074811352157667,0.05102412779019432,0.1912081713772871,1,63,5,4,-0.13536588103114774,"HOXA10-2:1240, 1, set2, minTK"
1.1153621452494917,0.2909193002811243,0.6287214434646957,1,51,5,4,0.09784066614337089,"HOXA10-2:1573, 4, set2, minCMV"
2.0599349637741398,0.15121662426345603,0.41686378196864765,1,60,5,4,0.09652862688383558,"HOXA10-2:1573, 4, set2, minProm"
0.41324651248419286,0.5203262863084295,0.8873835840583026,1,61,5,4,-0.02673548828518325,"HOXA10-2:1573, 4, set2, minTK"
0.5344714947591456,0.464732993032317,0.8321836860654493,1,48,5,4,0.06698909239584018,"HOXA10-2:1906, 8, set2, minCMV"
7.327110413708624,0.006792216302254954,0.03611930089043284,1,42,5,4,-0.23132453293662764,"HOXA10-2:1906, 8, set2, minProm"
2.4501012361160974,0.11751728867127564,0.3510657524411357,1,55,5,4,-0.11782565638017986,"HOXA10-2:1906, 8, set2, minTK"
1.683132186552939,0.1945087779761108,0.4910806281240349,1,43,5,4,0.13426070567251394,"HOXA10-2:241, 1, set1, minCMV"
5.948920981751144,0.01472629749367525,0.06989870108667184,1,41,5,4,-0.18418340233616484,"HOXA10-2:241, 1, set1, minProm"
-81.39227046392364,1,1,1,39,5,4,0.20730938004322333,"HOXA10-2:241, 1, set1, minTK"
1.0035232226400694,0.316459490291016,0.6608445329722087,1,38,5,4,0.08713351004176141,"HOXA10-2:574, 4, set1, minCMV"
1.2346510909733297,0.2665044147873323,0.5975636394934463,1,29,5,4,-0.11321449411010134,"HOXA10-2:574, 4, set1, minProm"
0.00621336961603447,0.9371718743335213,1,1,49,5,4,-0.007119979652108525,"HOXA10-2:574, 4, set1, minTK"
10.800206357709612,0.0010148878102311106,0.006949209509965977,1,35,5,4,-0.28464098203071603,"HOXA10-2:907, 8, set1, minCMV"
-95.74808218685382,1,1,1,27,5,4,0.5151069865827665,"HOXA10-2:907, 8, set1, minProm"
-130.88222556626818,1,1,1,28,5,4,-0.13181382298281255,"HOXA10-2:907, 8, set1, minTK"
9.855605705470225,0.0016931504369436415,0.010900765182083697,1,104,5,4,0.13056838510140514,"Hoxa11-1:1245, 1, set2, minCMV"
0.15342290542594128,0.6952855352174538,1,1,91,5,4,-0.024525779992348867,"Hoxa11-1:1245, 1, set2, minProm"
12.30888226402567,4.508078517107095e-4,0.0033279589245278577,1,101,5,4,-0.15712784323019532,"Hoxa11-1:1245, 1, set2, minTK"
0.5324608116370655,0.46557411667327875,0.832961323800547,1,80,5,4,0.04181108293884346,"Hoxa11-1:1578, 4, set2, minCMV"
2.2880193864693865e-4,0.9879314984522815,1,1,75,5,4,-0.0013144011481710184,"Hoxa11-1:1578, 4, set2, minProm"
3.916170277292167,0.04782370787371855,0.18176560257449215,1,66,5,4,-0.15231361019737283,"Hoxa11-1:1578, 4, set2, minTK"
1.0632499657649532,0.3024751118581183,0.6441754982775877,1,61,5,4,-0.06310742572349114,"Hoxa11-1:1911, 8, set2, minCMV"
1.0794568055307536,0.29881910407576245,0.6397166041245497,1,74,5,4,-0.07211443590553622,"Hoxa11-1:1911, 8, set2, minProm"
1.7817423459073325,0.18193552187253345,0.4705044106699371,1,74,5,4,-0.08477289288856978,"Hoxa11-1:1911, 8, set2, minTK"
0.8335148405099062,0.3612581413602064,0.719470656366533,1,64,5,4,-0.04427554398881026,"Hoxa11-1:246, 1, set1, minCMV"
1.3399968741837256,0.2470345194582098,0.5706187466910834,1,51,5,4,0.1001163390512052,"Hoxa11-1:246, 1, set1, minProm"
4.285427178487225,0.038440421810555875,0.15379512310354748,1,66,5,4,0.14646739439029718,"Hoxa11-1:246, 1, set1, minTK"
0.914310230985393,0.3389733682166237,0.6896238580942374,1,52,5,4,-0.05694545803006103,"Hoxa11-1:579, 4, set1, minCMV"
0.2925904962967252,0.5885652417882633,0.9560877320982579,1,51,5,4,-0.04549903948883928,"Hoxa11-1:579, 4, set1, minProm"
2.3124316874718716,0.12834312986907573,0.37412601027805564,1,53,5,4,-0.10276879092821622,"Hoxa11-1:579, 4, set1, minTK"
0.9950390666226667,0.3185138934674961,0.6629320005684043,1,62,5,4,0.08657456373437343,"Hoxa11-1:912, 8, set1, minCMV"
0.22967362602048524,0.6317659355202643,0.990885182830813,1,53,5,4,-0.02499996847718426,"Hoxa11-1:912, 8, set1, minProm"
0.1147208398474504,0.7348322374185952,1,1,47,5,4,0.029508981385591458,"Hoxa11-1:912, 8, set1, minTK"
4.233317799162251,0.03963788522840546,0.15742469208229204,1,104,5,4,0.09058060499410817,"HOXA13-1:1241, 1, set2, minCMV"
7.862045564079381,0.005048324669610159,0.028290885146665688,1,91,5,4,-0.1466653009127944,"HOXA13-1:1241, 1, set2, minProm"
4.099216730804983,0.04290308505646226,0.16794821441478086,1,95,5,4,-0.09842796548607445,"HOXA13-1:1241, 1, set2, minTK"
2.0962616307697317,0.14765977773629965,0.4104330517697578,1,78,5,4,0.07260526647889849,"HOXA13-1:1574, 4, set2, minCMV"
0.031178624967651558,0.8598424676267795,1,1,82,5,4,0.006950813001528487,"HOXA13-1:1574, 4, set2, minProm"
2.6249004108904046,0.1051991053746043,0.3232280666387291,1,72,5,4,-0.0722537131834938,"HOXA13-1:1574, 4, set2, minTK"
0.47777132821374835,0.48943355134276717,0.8576607339079246,1,89,5,4,0.03391543412240833,"HOXA13-1:1907, 8, set2, minCMV"
3.445053425821243e-5,0.9953168771717682,1,1,57,5,4,-2.129015828790067e-4,"HOXA13-1:1907, 8, set2, minProm"
0.3583428144811478,0.5494280374187491,0.9178376333652745,1,71,5,4,0.02995743026317145,"HOXA13-1:1907, 8, set2, minTK"
0.7284858198800066,0.39337443390584176,0.7559780266112891,1,56,5,4,-0.039572554430510144,"HOXA13-1:242, 1, set1, minCMV"
4.145730907568577,0.041739631906005895,0.16423114616700077,1,52,5,4,-0.17388342639579837,"HOXA13-1:242, 1, set1, minProm"
1.2872610362173873,0.25655332098152483,0.5844771874883254,1,60,5,4,-0.08799901749382709,"HOXA13-1:242, 1, set1, minTK"
1.7636831292702482,0.18416577758028085,0.4744876140573665,1,71,5,4,0.05458817985776726,"HOXA13-1:575, 4, set1, minCMV"
1.683827448503962,0.19441664998929659,0.4910806281240349,1,58,5,4,-0.09203457117805303,"HOXA13-1:575, 4, set1, minProm"
0.5417308482174121,0.4617162907656166,0.829357015291939,1,63,5,4,-0.06031598808837212,"HOXA13-1:575, 4, set1, minTK"
0.25664601870812476,0.6124338053238508,0.9772846017924375,1,61,5,4,-0.022659880472300973,"HOXA13-1:908, 8, set1, minCMV"
1.056683037127641,0.30397292823696803,0.6457978987310473,1,50,5,4,-0.09107939306844479,"HOXA13-1:908, 8, set1, minProm"
0.5528601087321476,0.45715140450102987,0.826505243801484,1,54,5,4,-0.0628229013070271,"HOXA13-1:908, 8, set1, minTK"
16.996131173118556,3.7456062572403844e-5,3.3881463375508747e-4,1,81,5,4,0.2240813718076938,"HOXA13-2:1242, 1, set2, minCMV"
5.716268156539627,0.01680841902734072,0.0783287630242236,1,62,5,4,0.15830051943458415,"HOXA13-2:1242, 1, set2, minProm"
0.8700212497283246,0.35094942588482897,0.7053440359242865,1,56,5,4,0.053311925062533745,"HOXA13-2:1242, 1, set2, minTK"
2.8724620782218153,0.09010692736890148,0.2896333632504773,1,60,5,4,0.11441076600072791,"HOXA13-2:1575, 4, set2, minCMV"
0.061287750522751594,0.8044720544786546,1,1,65,5,4,0.011553202820080835,"HOXA13-2:1575, 4, set2, minProm"
0.42876607218659046,0.5125950397344947,0.8791085095195369,1,66,5,4,0.04719745816793167,"HOXA13-2:1575, 4, set2, minTK"
10.043407661302808,0.0015289410700129646,0.009968955469235274,1,86,5,4,0.1672378839537932,"HOXA13-2:1908, 8, set2, minCMV"
0.0800985587870855,0.7771638914288316,1,1,68,5,4,0.019313184171134354,"HOXA13-2:1908, 8, set2, minProm"
1.3617168857781508,0.24324015182221573,0.5646186744112053,1,72,5,4,0.07147279563895366,"HOXA13-2:1908, 8, set2, minTK"
