statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
11.43877623636854,0.0032817183118916365,0.009340275195383888,2,49,7,5,"Atoh1-1:1170, 1, set2, minProm"
2.3729557646820467,0.3052946563504213,0.4164156738406146,2,41,7,5,"Atoh1-1:1170, 1, set2, minTK"
9.918937477331383,0.007016654519817938,0.01826888175528689,2,56,7,5,"Atoh1-1:1503, 4, set2, minCMV"
0.26634030441164214,0.8753161424646441,0.9154080958654596,2,52,7,5,"Atoh1-1:1503, 4, set2, minProm"
16.07075079406468,3.238029529685689e-4,0.001203872722235442,2,47,7,5,"Atoh1-1:1503, 4, set2, minTK"
7.784053970674904,0.020403945594520568,0.045432516902349784,2,51,7,5,"Atoh1-1:171, 1, set1, minCMV"
3.375631288293789,0.18492302082513168,0.28366563284414553,2,40,7,5,"Atoh1-1:171, 1, set1, minProm"
4.491489421147435,0.10584868438027174,0.18139582016284292,2,28,7,5,"Atoh1-1:171, 1, set1, minTK"
2.479243055581719,0.2894937625517926,0.39929725793692117,2,44,7,5,"Atoh1-1:1836, 8, set2, minCMV"
5.176810613706948,0.07513976946954425,0.13702745370603941,2,53,7,5,"Atoh1-1:1836, 8, set2, minProm"
10.888456070453685,0.004321174514910584,0.011949866668429,2,50,7,5,"Atoh1-1:1836, 8, set2, minTK"
1.6142721195583363,0.44613393927135303,0.5526733874555567,2,40,7,5,"Atoh1-1:504, 4, set1, minCMV"
11.953542560119786,0.0025370043593437824,0.0074449502031005785,2,43,7,5,"Atoh1-1:504, 4, set1, minProm"
0.25008918034927774,0.8824575527709049,0.9202129523122068,2,31,7,5,"Atoh1-1:504, 4, set1, minTK"
18.555728598479618,9.347053554070077e-5,3.9187442272422125e-4,2,41,7,5,"Atoh1-1:837, 8, set1, minCMV"
19.148863969707236,6.948275366770497e-5,3.0011467864067787e-4,2,36,7,5,"Atoh1-1:837, 8, set1, minProm"
0.1402208133088152,0.9322908831062605,0.95584935533818,2,26,7,5,"Atoh1-1:837, 8, set1, minTK"
6.41420884064155,0.040473638407380656,0.08163845224897602,2,101,7,5,"Barhl1-1:1228, 1, set2, minCMV"
4.96819742002026,0.08340068885409413,0.1491257731999552,2,77,7,5,"Barhl1-1:1228, 1, set2, minProm"
4.078024528487731,0.13015720833580416,0.21484159462470012,2,87,7,5,"Barhl1-1:1228, 1, set2, minTK"
6.587806081121016,0.03710872949963491,0.07559595906691796,2,104,7,5,"Barhl1-1:1561, 4, set2, minCMV"
0.9282937260459221,0.6286712191312508,0.7162490498801971,2,96,7,5,"Barhl1-1:1561, 4, set2, minProm"
9.98866819732848,0.0067762318988002545,0.017748237237710515,2,99,7,5,"Barhl1-1:1561, 4, set2, minTK"
24.695105098442582,4.340363102325579e-6,2.3201488402509754e-5,2,100,7,5,"Barhl1-1:1894, 8, set2, minCMV"
0.07271094883162732,0.9642974494780733,0.9796716328918541,2,98,7,5,"Barhl1-1:1894, 8, set2, minProm"
0.08645222986888257,0.9576948164820488,0.9748361887359537,2,104,7,5,"Barhl1-1:1894, 8, set2, minTK"
2.2483184826760407,0.32492553650895567,0.43659869727368317,2,104,7,5,"Barhl1-1:229, 1, set1, minCMV"
1.7186314857099205,0.4234517330825859,0.5326316904757817,2,67,7,5,"Barhl1-1:229, 1, set1, minProm"
0.5610867716768553,0.755373170832938,0.8233826588714896,2,93,7,5,"Barhl1-1:229, 1, set1, minTK"
2.0974774541737133,0.3503793945745779,0.46185920319351526,2,97,7,5,"Barhl1-1:562, 4, set1, minCMV"
0.0703359675617321,0.9654432238321486,0.9804484591231907,2,90,7,5,"Barhl1-1:562, 4, set1, minProm"
4.280597003374169,0.1176197280938369,0.1980861996030563,2,99,7,5,"Barhl1-1:562, 4, set1, minTK"
2.3025466426443018,0.3162338456093794,0.4274127150663699,2,90,7,5,"Barhl1-1:895, 8, set1, minCMV"
0.7027181057983398,0.7037310318208353,0.7778756087782513,2,101,7,5,"Barhl1-1:895, 8, set1, minProm"
5.103148023654285,0.07795886120883633,0.1409433786848909,2,103,7,5,"Barhl1-1:895, 8, set1, minTK"
3.860940503562233,0.14507995833104514,0.23381818527139314,2,64,7,5,"BARHL2-1:1225, 1, set2, minCMV"
12.051378947412559,0.0024158853036137617,0.007126977682418696,2,63,7,5,"BARHL2-1:1225, 1, set2, minProm"
3.568968775279245,0.16788360154764329,0.26291205525385647,2,73,7,5,"BARHL2-1:1225, 1, set2, minTK"
13.314559016315798,0.0012846364638662655,0.004111640000555812,2,100,7,5,"BARHL2-1:1558, 4, set2, minCMV"
4.472964983701786,0.10683363240711215,0.18272686445126227,2,69,7,5,"BARHL2-1:1558, 4, set2, minProm"
0.1332528229804666,0.9355446447883499,0.958324751215818,2,79,7,5,"BARHL2-1:1558, 4, set2, minTK"
